,Effective user ID,Stream name,Namespace ID,Event count,Sessions,Purchase revenue,Transactions,Key events,Unnamed: 8,Source
29,313124468.1745014,Super Graphic Store,ANONYMOUS,4,1,0,0,0,,1
30,399173160.174504,Super Graphic Store,ANONYMOUS,4,1,0,0,0,,1
31,606103187.174501,Super Graphic Store,ANONYMOUS,4,1,0,0,0,,1
32,848542769.1745014,Super Graphic Store,ANONYMOUS,4,1,0,0,0,,1
33,960219890.1745013,Super Graphic Store,ANONYMOUS,4,1,0,0,0,,1
34,969100598.1745042,Super Graphic Store,ANONYMOUS,4,1,0,0,0,,1
35,997276580.1745021,Super Graphic Store,ANONYMOUS,4,1,0,0,0,,1
36,1057214450.1745014,Super Graphic Store,ANONYMOUS,3,1,0,0,0,,1
37,1060171436.1745012,Super Graphic Store,ANONYMOUS,3,1,0,0,0,,1
38,1443574403.1745017,Super Graphic Store,ANONYMOUS,3,1,0,0,0,,1
39,1500457587.1745017,Super Graphic Store,ANONYMOUS,3,1,0,0,0,,1
40,1508065530.1745043,Super Graphic Store,ANONYMOUS,3,1,0,0,0,,1
41,1530840608.174502,Super Graphic Store,ANONYMOUS,3,1,0,0,0,,1
42,1717684665.1745014,Super Graphic Store,ANONYMOUS,3,1,0,0,0,,1
43,1835934811.174504,Super Graphic Store,ANONYMOUS,3,1,0,0,0,,1
44,1907398595.174503,Super Graphic Store,ANONYMOUS,3,1,0,0,0,,1
45,522680045.17450374,Super Graphic Store,ANONYMOUS,3,1,0,0,0,,1
46,716177206.1745038,Super Graphic Store,ANONYMOUS,3,1,0,0,0,,1
47,794331190.1745014,Super Graphic Store,ANONYMOUS,3,1,0,0,0,,1
48,,,,382,48,0,0,0,Grand total,2
49,362654813.174477,Super Graphic Store,ANONYMOUS,84,4,0,0,0,,2
50,493883432.1739408,Super Graphic Store,ANONYMOUS,32,2,0,0,0,,2
51,1268746999.174502,Super Graphic Store,ANONYMOUS,21,2,0,0,0,,2
52,2014208042.174482,Super Graphic Store,ANONYMOUS,19,1,0,0,0,,2
53,1338331496.174503,Super Graphic Store,ANONYMOUS,15,1,0,0,0,,2
54,570548283.1744918,Super Graphic Store,ANONYMOUS,14,1,0,0,0,,2
55,834410559.1745033,Super Graphic Store,ANONYMOUS,14,1,0,0,0,,2
56,837878488.1745017,Super Graphic Store,ANONYMOUS,14,1,0,0,0,,2
57,485457455.1745014,Super Graphic Store,ANONYMOUS,13,1,0,0,0,,2
58,1835934811.174504,Super Graphic Store,ANONYMOUS,10,2,0,0,0,,2
59,1336964800.1745014,Super Graphic Store,ANONYMOUS,9,2,0,0,0,,2
60,535647955.1744902,Super Graphic Store,ANONYMOUS,9,1,0,0,0,,2
61,750265075.1745014,Super Graphic Store,ANONYMOUS,8,1,0,0,0,,2
62,1063218569.1745014,Super Graphic Store,ANONYMOUS,7,1,0,0,0,,2
63,1158704306.1745017,Super Graphic Store,ANONYMOUS,7,1,0,0,0,,2
64,1675345010.1745017,Super Graphic Store,ANONYMOUS,7,1,0,0,0,,2
65,220595905.1745024,Super Graphic Store,ANONYMOUS,7,1,0,0,0,,2
66,1699836480.1745024,Super Graphic Store,ANONYMOUS,6,1,0,0,0,,2
67,76917161.17450145,Super Graphic Store,ANONYMOUS,6,1,0,0,0,,2
68,1144405385.1745012,Super Graphic Store,ANONYMOUS,5,1,0,0,0,,2
69,1161763726.174492,Super Graphic Store,ANONYMOUS,5,1,0,0,0,,2
70,24494791.17450155,Super Graphic Store,ANONYMOUS,5,1,0,0,0,,2
71,344496340.1745025,Super Graphic Store,ANONYMOUS,5,1,0,0,0,,2
72,426445904.17450154,Super Graphic Store,ANONYMOUS,5,1,0,0,0,,2
73,1569811074.174503,Super Graphic Store,ANONYMOUS,4,1,0,0,0,,2
74,1699033986.1745028,Super Graphic Store,ANONYMOUS,4,1,0,0,0,,2
75,1762241319.1745036,Super Graphic Store,ANONYMOUS,4,1,0,0,0,,2
76,743598610.1745017,Super Graphic Store,ANONYMOUS,4,1,0,0,0,,2
